 ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,24,20,21,21,20,19,15,19,15,8,14,21,22,16,20,18,11,13,22,18,12,14,18,8,14,4
0,170,101,114,101,85,81,96,87,67,47,60,101,106,63,90,129,16,96,140,124,56,40,67,11,57,25
0,464,456,427,391,233,297,358,320,152,169,248,331,387,210,201,431,39,305,629,431,97,122,269,18,140,60
0,1173,1141,1196,801,421,684,737,571,308,260,473,679,849,405,334,944,85,681,1813,981,327,288,468,27,160,112
0,2084,2173,2533,1507,987,1213,1266,1017,632,453,704,1134,1566,623,705,1922,146,1565,3193,1845,900,513,792,29,205,167
0,2874,2954,3730,2130,1558,1742,1653,1436,913,550,675,1474,2240,797,1196,3098,219,2130,4536,2445,1362,668,1144,47,177,249
0,3349,3308,4757,2632,2036,2227,1802,1771,1254,426,646,1643,2748,998,1744,3985,288,2559,5914,2777,2229,870,1250,60,164,189
0,3687,2921,4808,2821,2256,1934,1620,1956,1648,397,435,1461,3024,1247,1892,4736,255,2583,5871,2736,2862,842,1034,72,95,209
0,3271,2079,4117,2431,1933,1443,1171,1675,1754,250,294,1069,2583,1280,1726,4668,176,2093,4735,2223,3268,666,709,71,64,123
0,2715,1374,3522,1932,1480,954,867,1479,1720,128,178,815,2066,1398,1373,4269,143,1669,3528,1728,3091,505,432,62,26,84
0,1979,790,2507,1538,1203,610,586,1171,1569,68,104,524,1578,1505,1021,3403,126,1208,2830,1304,2822,345,212,39,21,62
0,1338,480,1801,1001,793,348,372,787,1194,49,64,341,1074,1489,797,2705,113,848,1957,849,2134,222,92,32,17,47
0,986,255,1064,654,485,183,203,548,776,16,26,189,669,1255,598,1823,85,562,1438,568,1552,124,45,18,1,25
0,563,168,658,377,297,96,100,365,546,8,16,96,404,909,403,1173,50,267,949,354,954,56,14,10,1,12
0,328,87,392,180,170,40,49,215,333,6,6,51,237,584,250,696,21,115,591,202,585,26,11,2,0,5
0,187,48,231,114,101,13,22,148,169,3,6,45,128,366,156,404,14,60,317,116,300,14,0,0,0,5
0,107,26,112,41,54,4,15,82,85,1,0,12,55,180,91,215,4,14,169,65,125,10,0,0,0,4
0,53,17,60,26,46,2,11,49,38,0,1,7,29,83,48,114,1,9,76,20,65,2,1,0,0,2
0,40,8,23,9,21,0,5,22,16,0,1,5,17,37,20,70,0,3,29,13,19,1,0,0,0,0
0,16,4,21,9,7,0,3,14,7,0,0,1,11,7,10,29,0,1,14,9,4,0,0,0,0,1
0,4,1,9,8,4,0,0,7,1,0,0,2,4,5,3,13,0,0,6,4,2,0,0,0,0,1
0,1,1,1,4,3,1,1,1,0,0,0,0,3,0,2,10,0,0,1,2,0,0,0,0,0,0
0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,3,0,0,1,2,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
